"id","name","fullName","activeIngridient","activeMoiety","routeOfAdministration","drugbank_id","genericMedicine","representedOrganization"
3684,"LAMICTAL","LAMICTAL (Tablet)","lamotrigine","lamotrigine","Oral","DB00555","lamotrigine","GlaxoSmithKline"
3685,"Yasmin","Yasmin (Kit)","drospirenone","drospirenone","Oral","","drospirenone and ethinyl estradiol","Bayer HealthCare Pharmaceuticals Inc."
3686,"Catapres","Catapres (Tablet)","clonidine hydrochloride","clonidine","Oral","","clonidine hydrochloride","Boehringer Ingelheim Pharmaceuticals, Inc."
3687,"Fluconazole","Fluconazole (Tablet)","Fluconazole","Fluconazole","Oral","DB00196","Fluconazole","Dr. Reddy's Laboratories Limited"
3688,"Levaquin","Levaquin (Tablet, Film Coated)","levofloxacin","levofloxacin","Oral","DB01137","levofloxacin","PriCara, Division of Ortho-McNeil-Janssen Pharmaceuticals, Inc."
3689,"Pediotic","Pediotic (Suspension)","neomycin sulfate","neomycin","Auricular (otic)","","neomycin sulfate, polymyxin B sulfate and hydrocortisone acetate","Monarch Pharmaceuticals, Inc.,"
3690,"Nystatin","Nystatin (Suspension)","Nystatin","Nystatin","Oral","DB00646","Nystatin","Bausch&Lomb Incorporated"
3691,"Captopril and Hydrochlorothiazide","Captopril and Hydrochlorothiazide (Tablet)","Captopril","Captopril","Oral","","Captopril and Hydrochlorothiazide","Mylan Pharmaceuticals Inc."
3692,"Zidovudine","Zidovudine (Tablet)","ZIDOVUDINE","ZIDOVUDINE","Oral","DB00495","Zidovudine","Roxane Laboratories, Inc."
3693,"Serentil","Serentil (Tablet, Film Coated)","mesoridazine besylate","mesoridazine","Oral","","mesoridazine besylate","Boehringer Ingelheim Pharmaceuticals, Inc."
3694,"Nuvigil","Nuvigil (Tablet)","armodafinil","armodafinil","Oral","","armodafinil","Cephalon, Inc."
3695,"Lisinopril","Lisinopril (Tablet)","Lisinopril","Lisinopril","Oral","DB00722","Lisinopril","TEVA PHARMACEUTICALS USA"
3696,"Oxacillin","Oxacillin (Injection, Solution)","Oxacillin Sodium","Oxacillin","Intravenous","","Oxacillin sodium","Baxter Healthcare Corporation"
3697,"Clonidine Hydrochloride","Clonidine Hydrochloride (Tablet)","Clonidine Hydrochloride","clonidine","Oral","","clonidine hydrochloride","Qualitest Pharmaceuticals"
3698,"Lisinopril and Hydrochlorothiazide","Lisinopril and Hydrochlorothiazide (Tablet)","Lisinopril","Lisinopril","Oral","","Lisinopril and Hydrochlorothiazide",""
3699,"Brimonidine","Brimonidine (Solution)","brimonidine tartrate","brimonidine","Ophthalmic","","brimonidine tartrate","PACIFIC PHARMA"
3700,"Pfizerpen","Pfizerpen (Powder, For Solution)","penicillin G potassium","penicillin G","Intravenous","","penicillin G potassium","Roerig"
3701,"Elidel","Elidel (Cream)","pimecrolimus","pimecrolimus","Topical","DB00337","pimecrolimus","Novartis Pharmaceuticals Corporation"
3702,"Lactated Ringer's","Lactated Ringer's (Solution, For Slush)","Sodium Chloride","Sodium Chloride","Irrigation","","Sodium Chloride, Sodium Lactate, Potassium Chloride and Calcium Chloride","Baxter Healthcare Corporation"
3703,"HydrALAZINE Hydrochloride","HydrALAZINE Hydrochloride (Tablet)","Hydralazine Hydrochloride","Hydralazine","Oral","","HydrALAZINE Hydrochloride","InvaGen Pharmaceuticals, Inc.,"
3704,"Mometasone Furoate","Mometasone Furoate (Ointment)","Mometasone Furoate","Mometasone","Topical","","Mometasone Furoate","Taro Pharmaceuticals U.S.A., Inc."
3705,"Altace","Altace (Tablet)","ramipril","ramipril","Oral","DB00178","ramipril","King Pharmaceuticals, Inc."
3706,"SUPPRELIN LA","SUPPRELIN LA (Implant)","histrelin acetate","histrelin","Subcutaneous","","histrelin acetate","Indevus Pharmaceuticals"
3707,"COUMADIN","COUMADIN (Tablet)","warfarin sodium","warfarin","Oral","","WARFARIN SODIUM","Bristol-Myers Squibb"
3708,"VENTOLIN HFA","VENTOLIN HFA (Aerosol, Metered)","albuterol sulfate","albuterol","Respiratory (inhalation)","","albuterol sulfate","GlaxoSmithKline"
3709,"MAXALT","MAXALT (Tablet)","rizatriptan benzoate","rizatriptan","Oral","","rizatriptan benzoate","Merck&Co., Inc."
3710,"Tigan","Tigan (Capsule)","TRIMETHOBENZAMIDE HYDROCHLORIDE","TRIMETHOBENZAMIDE","Oral","","trimethobenzamide hydrochloride","King Pharmaceuticals, Inc."
3711,"MAXIPIME","MAXIPIME (Injection, Powder, For Solution)","cefepime hydrochloride","cefepime","Intravenous","","CEFEPIME HYDROCHLORIDE","Elan Pharmaceuticals, Inc."
3712,"Clindamax","Clindamax (Cream)","Clindamycin Phosphate","Clindamycin","Vaginal","","Clindamycin Phosphate","PharmaDerm"
3713,"Ultravist","Ultravist (Injection)","iopromide","iopromide","Intra-arterial","","iopromide","Berlex"
3714,"Simvastatin","Simvastatin (Tablet, Film Coated)","Simvastatin","Simvastatin","Oral","DB00641","Simvastatin","Dr Reddy's Laboratories"
3715,"ZOFRAN","ZOFRAN (Injection)","ondansetron hydrochloride","ondansetron","Intravenous","","ondansetron hydrochloride","GlaxoSmithKline"
3716,"Alprazolam","Alprazolam (Tablet)","Alprazolam","Alprazolam","Oral","DB00404","Alprazolam","Sandoz Inc."
3717,"Hexabrix","Hexabrix (Injection)","Ioxaglate Meglumine","Ioxaglic acid","Intravascular","","Ioxaglate Meglumine and Ioxaglate Sodium","Mallinckrodt Inc."
3718,"Methergine","Methergine (Tablet)","methylergonovine maleate","methylergonovine","Oral","","methylergonovine maleate","Novartis Pharmaceuticals Corporation"
3719,"Sulfamethoxazole and Trimethoprim","Sulfamethoxazole and Trimethoprim (Tablet)","Sulfamethoxazole","Sulfamethoxazole","Oral","","Sulfamethoxazole and Trimethoprim","Vintage Pharmaceuticals, LLC"
3720,"Depacon","Depacon (Injection)","valproate sodium","valproic acid","Intravenous","","valproate sodium","Abbott Laboratories"
3721,"Methadone Hydrochloride","Methadone Hydrochloride (Concentrate)","METHADONE HYDROCHLORIDE","METHADONE","Oral","","Methadone Hydrochloride","Cebert Pharmaceuticals, Inc."
3722,"KENALOG","KENALOG (Lotion)","triamcinolone acetonide","triamcinolone","Topical","","Triamcinolone Acetonide","Bristol-Myers Squibb Company"
3723,"LANOXIN","LANOXIN (Injection, Solution)","digoxin","digoxin","Intramuscular","DB00390","digoxin","GlaxoSmithKline"
3724,"EMSAM","EMSAM (Patch)","Selegiline","Selegiline","Transdermal","DB01037","Selegiline","Somerset"
3725,"Penicillin V Potassium","Penicillin V Potassium (Tablet)","Penicillin V Potassium","Penicillin V","Oral","","Penicillin V Potassium","Sandoz Inc."
3726,"PAREMYD","PAREMYD (Solution)","Hydroxyamphetamine hydrobromide","Hydroxyamphetamine","Ophthalmic","","hydroxyamphetamine hydrobromide and tropicamide","Akorn, Inc."
3727,"Carvedilol","Carvedilol (Tablet, Film Coated)","Carvedilol","Carvedilol","Oral","DB01136","Carvedilol","Sandoz Inc."
3728,"Trovan","Trovan (Tablet, Film Coated)","trovafloxacin mesylate","trovafloxacin","Oral","","trovafloxacin mesylate","Roerig"
3729,"ZYFLO CR","ZYFLO CR (Tablet, Multilayer, Extended Release)","zileuton","zileuton","Oral","DB00744","zileuton","Critical Therapeutics, Inc."
3730,"ACANYA","ACANYA (Kit)","Benzoyl Peroxide","Benzoyl Peroxide","Topical","","Clindamycin phosphate and Benzoyl peroxide","ARCUTIS Pharmaceuticals"
3731,"Clindesse","Clindesse (Cream)","clindamycin phosphate","Clindamycin","Vaginal","","clindamycin phosphate","KV Pharmaceuticals"
3732,"Lactated Ringers","Lactated Ringers (Injection, Solution)","Sodium Chloride","sodium chloride","Intravenous","","Sodium chloride, potassium chloride, sodium lactate and calcium chloride","Baxter Healthcare Corporation"
3733,"Potassium Chloride","Potassium Chloride (Tablet, Extended Release)","Potassium Chloride","Potassium ion","Oral","DB00761","Potassium Chloride","Watson Laboratories, Inc."
3734,"Fluoxetine","Fluoxetine (Capsule)","fluoxetine hydrochloride","fluoxetine","Oral","","Fluoxetine hydrochloride","Sandoz Inc."
3735,"Zolpidem Tartrate","Zolpidem Tartrate (Tablet, Film Coated)","zolpidem tartrate","zolpidem","Oral","","zolpidem tartrate","Roxane Laboratories, Inc."
3736,"Zithromax","Zithromax (Tablet, Film Coated)","azithromycin","azithromycin","Oral","DB00207","azithromycin","Pfizer Labs"
3737,"Triazolam","Triazolam (Tablet)","triazolam","triazolam","Oral","DB00897","Triazolam","Boehringer Ingelheim Roxane Laboratories, Inc."
3738,"Esmolol Hydrochloride","Esmolol Hydrochloride (Injection, Solution)","esmolol hydrochloride","esmolol","Intravenous","","Esmolol Hydrochloride","Bedford Laboratories"
3739,"Prialt","Prialt (Injection, Solution)","ziconotide acetate","ziconotide","Intrathecal","","ziconotide","Elan Pharmaceuticals, Inc."
3740,"Clomipramine Hydrochloride","Clomipramine Hydrochloride (Capsule)","Clomipramine Hydrochloride","Clomipramine","Oral","","Clomipramine Hydrochloride","Taro Pharmaceuticals U.S.A., Inc."
3742,"Nizatidine","Nizatidine (Capsule)","Nizatidine","Nizatidine","Oral","DB00585","Nizatidine","Mylan Pharmaceuticals Inc."
3743,"Isoniazid","Isoniazid (Solution)","Isoniazid","isoniazid","Oral","DB00951","isoniazid","Carolina Medical Products Company"
3744,"Transderm Nitro","Transderm Nitro (Patch, Extended Release)","nitroglycerin","nitroglycerin","Transdermal","DB00727","nitroglycerin","Novartis Pharmaceuticals Corporation"
3745,"Bisoprolol Fumarate","Bisoprolol Fumarate (Tablet, Film Coated)","Bisoprolol Fumarate","Bisoprolol","Oral","","Bisoprolol Fumarate","TEVA PHARMACEUTICALS USA"
3746,"Tolmetin Sodium","Tolmetin Sodium (Capsule)","Tolmetin Sodium","Tolmetin","Oral","","Tolmetin Sodium","Mylan Pharmaceuticals Inc."
3747,"LIDEX-E","LIDEX-E (Cream)","fluocinonide","fluocinonide","Topical","DB01047","fluocinonide","MEDICIS, The Dermatology Company"
3748,"glimepiride","glimepiride (Tablet)","glimepiride","glimepiride","Oral","DB00222","glimepiride","Prasco Laboratories"
3749,"Polyethylene Glycol 3350","Polyethylene Glycol 3350 (Powder, For Solution)","Polyethylene Glycol 3350","Polyethylene Glycol 3350","Oral","","Polyethylene Glycol 3350","Paddock Laboratories, Inc"
3750,"Xylocaine","Xylocaine (Injection)","lidocaine Hydrochloride","lidocaine","Dental","","lidocaine Hydrochloride","DENTSPLY Pharmaceutical"
3751,"DIPROLENE","DIPROLENE (Lotion)","betamethasone dipropionate","betamethasone","Topical","","betamethasone dipropionate","Schering Corporation"
3752,"Miochol-E","Miochol-E (Kit)","acetylcholine chloride","acetylcholine cation","Intraocular","","acetylcholine chloride","Novartis Pharmaceuticals Corporation"
3753,"Rocaltrol","Rocaltrol (Capsule, Liquid Filled)","calcitriol","calcitriol","Oral","DB00136","calcitriol","Roche Pharmaceuticals"
3754,"AVODART","AVODART (Capsule, Gelatin Coated)","dutasteride","dutasteride","Oral","DB01126","dutasteride","GlaxoSmithKline"
3755,"Ampicillin and Sulbactam","Ampicillin and Sulbactam (Injection, Powder, For Solution)","Ampicillin sodium","Ampicillin","Intravenous","","Ampicillin sodium and Sulbactam sodium","Sandoz Inc."
3756,"OctreoScan","OctreoScan (Kit)","Pentetreotide","Pentetreotide","Intravenous","","Indium In -111 Pentetreotide","Mallinckrodt Inc."
3757,"Ammonium Lactate","Ammonium Lactate (Lotion)","Ammonium Lactate","lactic acid, DL-","Topical","","Ammonium Lactate","PERRIGO"
3758,"DOBUTamine Hydrochloride","DOBUTamine Hydrochloride (Injection, Solution)","Dobutamine Hydrochloride","Dobutamine","Intravenous","","Dobutamine Hydrochloride","HOSPIRA, INC."
3759,"Valcyte","Valcyte (Tablet, Film Coated)","valganciclovir hydrochloride","valganciclovir","Oral","","valganciclovir hydrochloride","Roche Pharmaceuticals"
3760,"Ribavirin","Ribavirin (Capsule)","ribavirin","ribavirin","Oral","DB00811","Ribavirin","Sandoz Inc."
3761,"Hectorol","Hectorol (Capsule, Liquid Filled)","doxercalciferol","doxercalciferol","Oral","","doxercalciferol","Genzyme Corporation"
3762,"Carvedilol","Carvedilol (Tablet, Film Coated)","CARVEDILOL","CARVEDILOL","Oral","DB01136","Carvedilol","Cadila Healthcare Ltd."
3763,"Hydrocodone Bitartrate And Acetaminophen","Hydrocodone Bitartrate And Acetaminophen (Tablet)","Hydrocodone Bitartrate","Hydrocodone","Oral","","Hydrocodone Bitartrate And Acetaminophen","Qualitest Pharmaceuticals"
3764,"Hydrocodone Bitartrate And Acetaminophen","Hydrocodone Bitartrate And Acetaminophen (Tablet)","Hydrocodone Bitartrate","Hydrocodone","Oral","","Hydrocodone Bitartrate And Acetaminophen","Qualitest Pharmaceuticals"
3765,"Amiloride and Hydrochlorothiazide","Amiloride and Hydrochlorothiazide (Tablet)","Amiloride Hydrochloride","Amiloride","Oral","","Amiloride Hydrochloride and Hydrochlorothiazide","Mylan Pharmaceuticals Inc"
3766,"PCE","PCE (Tablet)","erythromycin","erythromycin","Oral","DB00199","erythromycin","Abbott Laboratories"
3767,"Methimazole","Methimazole (Tablet)","methimazole","methimazole","Oral","DB00763","methimazole","UNITED RESEARCH LABORATORIES, INC."
3768,"Diltiazem Hydrochloride","Diltiazem Hydrochloride (Capsule, Extended Release)","Diltiazem Hydrochloride","Diltiazem","Oral","","Diltiazem Hydrochloride","Mylan Pharmaceuticals Inc."
3769,"Estrasorb","Estrasorb (Emulsion)","estradiol hemihydrate","estradiol","Topical","DB00783","estradiol","Esprit Pharma"
3770,"Ludiomil","Ludiomil (Tablet)","maprotiline hydrochloride","maprotiline","Oral","","maprotiline hydrochloride","Ciba-Geigy Corporation"
3771,"OxyContin","OxyContin (Tablet, Film Coated, Extended Release)","oxycodone hydrochloride","oxycodone","Oral","","oxycodone hydrochloride","Purdue Pharma L.P."
3772,"Polymyxin B","Polymyxin B (Injection, Powder, For Solution)","polymyxin b sulfate","polymyxin b","Intramuscular","DB00781","Polymyxin B sulfate","Bedford Laboratories"
3773,"Prevalite","Prevalite (Powder, For Suspension)","cholestyramine","cholestyramine","Oral","DB01432","cholestyramine","UPSHER-SMITH LABORATORIES, INC."
3774,"Acetic Acid","Acetic Acid (Irrigant)","Acetic Acid","Acetic Acid","Irrigation","DB03166","Acetic Acid","B. Braun Medical Inc."
3775,"Cetirizine Hydrochloride","Cetirizine Hydrochloride (Syrup)","cetirizine hydrochloride","cetirizine","Oral","","Cetirizine Hydrochloride","Teva Pharmaceuticals USA"
3776,"Halobetasol Propionate","Halobetasol Propionate (Ointment)","Halobetasol Propionate","Halobetasol","Topical","DB00596","Halobetasol Propionate","E. FOUGERA&CO."
3777,"HydrALAzine Hydrochloride","HydrALAzine Hydrochloride (Tablet)","HYDRALAZINE HYDROCHLORIDE","HYDRALAZINE","Oral","","HydrALAzine Hydrochloride","Barr Laboratories, Inc."
3778,"Azulfidine","Azulfidine (Tablet)","Sulfasalazine","Sulfasalazine","Oral","DB00795","Sulfasalazine","Pharmacia and Upjohn Company"
3779,"URSODIOL","URSODIOL (Capsule)","URSODIOL","Ursodiol","Oral","","Ursodiol","COREPHARMA LLC."
3780,"Dicyclomine Hydrochloride","Dicyclomine Hydrochloride (Tablet)","Dicyclomine Hydrochloride","Dicyclomine","Oral","","Dicyclomine Hydrochloride","Mylan Pharmaceuticals Inc."
3781,"Ceftriaxone","Ceftriaxone (Powder, For Solution)","Ceftriaxone","Ceftriaxone","Intramuscular","DB01212","Ceftriaxone","Sandoz Inc."
3782,"Nitrolingual","Nitrolingual (Spray)","nitroglycerin","nitroglycerin","Oral","DB00727","nitroglycerin","FIRST HORIZON PHARMACEUTICAL CORPORATION"
3783,"REQUIP","REQUIP (Tablet, Film Coated)","","","Oral","","ropinirole hydrochloride","GlaxoSmithKline"
3784,"Dexamethasone Sodium Phosphate","Dexamethasone Sodium Phosphate (Solution)","dexamethasone sodium phosphate","dexamethasone","Ophthalmic","","dexamethasone sodium phosphate","FALCON Pharmaceuticals, Ltd."
3785,"Cefdinir","Cefdinir (Capsule)","Cefdinir","Cefdinir","Oral","DB00535","Cefdinir","Teva Pharmaceuticals USA"
3786,"Teveten HCT","Teveten HCT (Tablet)","eprosartan mesylate","Eprosartan","Oral","","eprosartan mesylate and hydrochlorothiazide","Abbott Laboratories"
3787,"TYLENOL with Codeine","TYLENOL with Codeine (Tablet)","codeine phosphate","codeine","Oral","","acetaminophen and codeine phosphate","OMP DIVISION, ORTHO-McNEIL PHARMACEUTICAL, INC."
3788,"LUCENTIS","LUCENTIS (Injection, Solution)","Ranibizumab","Ranibizumab","Intravitreal","DB01270","Ranibizumab","Genentech"
3789,"Humulin U Ultralente","Humulin U Ultralente (Injection, Suspension)","insulin human","insulin human","Subcutaneous","","human insulin and zinc oxide","Eli Lilly Company"
3790,"Pegasys","Pegasys (Injection, Solution)","peginterferon alfa-2a","peginterferon alfa-2a","Subcutaneous","DB00008","peginterferon alfa-2a","Roche Pharmaceuticals"
3791,"IOPIDINE","IOPIDINE (Solution)","apraclonidine hydrochloride","apraclonidine","Ophthalmic","DB00964","apraclonidine","ALCON LABORATORIES, INC."
3792,"Amoxicillin","Amoxicillin (Capsule)","Amoxicillin","Amoxicillin","Oral","DB01060","Amoxicillin","West-ward Pharmaceutical Corp."
3793,"Ketoconazole","Ketoconazole (Tablet)","ketoconazole","ketoconazole","Oral","DB01026","Ketoconazole","Apotex Corp."
3794,"Prostin VR Pediatric","Prostin VR Pediatric (Injection, Solution)","alprostadil","alprostadil","Intravenous","DB00770","alprostadil","Pharmacia and Upjohn Company"
3795,"RELISTOR","RELISTOR (Injection, Solution)","Methylnaltrexone Bromide","Methylnaltrexone","Subcutaneous","","Methylnaltrexone Bromide","Wyeth Pharmaceuticals Inc."
3796,"Trisenox","Trisenox (Injection, Solution)","arsenic trioxide","arsenic, ion (AS3+)","Intravenous","DB01169","arsenic trioxide","Cephalon, Inc."
3797,"Topamax","Topamax (Capsule, Coated Pellets)","topiramate","topiramate","Oral","DB00273","topiramate","Ortho-McNeil Neurologics, Inc."
3798,"Feldene","Feldene (Capsule)","piroxicam","piroxicam","Oral","DB00554","piroxicam","Pfizer Labs"
3799,"Phentermine Hydrochloride","Phentermine Hydrochloride (Tablet)","Phentermine Hydrochloride","Phentermine","Oral","","Phentermine Hydrochloride","Qualitest Pharmaceuticals"
3800,"Uroxatral","Uroxatral (Tablet, Extended Release)","alfuzosin hydrochloride","alfuzosin","Oral","","alfuzosin hydrochloride","sanofi-aventis U.S. LLC"
3801,"Corlopam","Corlopam (Injection, Solution)","fenoldopam mesylate","fenoldopam","Intravenous","","Fenoldopam Mesylate","Hospira, Inc."
3802,"Clindamycin Hydrochloride","Clindamycin Hydrochloride (Capsule)","Clindamycin","Clindamycin","Oral","","Clindamycin Hydrochloride","TEVA PHARMACEUTICALS USA"
3803,"Clomid","Clomid (Tablet)","clomiphene citrate","clomiphene","Oral","","clomiphene citrate","sanofi-aventis U.S. LLC"
3804,"Cerezyme","Cerezyme (Injection, Powder, Lyophilized, For Solution)","imiglucerase","imiglucerase","Intravenous","DB00053","imiglucerase","Genzyme Corporation"
3805,"Diclofenac Sodium","Diclofenac Sodium (Tablet, Delayed Release)","Diclofenac Sodium","Diclofenac","Oral","","Diclofenac Sodium","UNIQUE PHARMACEUTICAL LABORATORIES"
3806,"Selegiline Hydrochloride","Selegiline Hydrochloride (Tablet)","Selegiline Hydrochloride","Selegiline","Oral","","Selegiline Hydrochloride","ALPHAPHARM PTY LTD."
3807,"Carboplatin","Carboplatin (Injection, Powder, Lyophilized, For Solution)","Carboplatin","Carboplatin","Intravenous","DB00958","Carboplatin","Bedford Laboratories"
3808,"Ultravist","Ultravist (Injection)","iopromide","iopromide","Intra-arterial","","iopromide","Bayer HealthCare Pharmaceuticals Inc."
3809,"Cleocin Hydrochloride","Cleocin Hydrochloride (Capsule)","clindamycin hydrochloride","clindamycin","Oral","","clindamycin hydrochloride","Pharmacia and Upjohn Company"
3810,"ADVAIR HFA","ADVAIR HFA (Aerosol, Metered)","fluticasone propionate","fluticasone","Oral","","fluticasone propionate and salmeterol xinafoate","GlaxoSmithKline"
3811,"ESTRACE","ESTRACE (Cream)","ESTRADIOL","ESTRADIOL","Vaginal","DB00783","estradiol","Warner Chilcott (US), LLC"
3812,"DOBUTamine Hydrochloride in Dextrose","DOBUTamine Hydrochloride in Dextrose (Injection, Solution)","Dobutamine Hydrochloride","Dobutamine","Intravenous","","Dobutamine Hydrochloride and Dextrose monohydrate","HOSPIRA, INC."
3813,"TABLOID","TABLOID (Tablet)","thioguanine","thioguanine","Oral","DB00352","thioguanine","GlaxoSmithKline"
3814,"Quibron T/SR","Quibron T/SR (Tablet)","theophylline, anhydrous","theophylline, anhydrous","Oral","","theophylline, anhydrous","Monarch Pharmaceuticals, Inc."
3815,"Triamcinolone Acetonide","Triamcinolone Acetonide (Lotion)","triamcinolone acetonide","triamcinolone acetonide","Topical","","Triamcinolone Acetonide","E. FOUGERA&CO."
3816,"Hydrochlorothiazide","Hydrochlorothiazide (Tablet)","Hydrochlorothiazide","hydrochlorothiazide","Oral","DB00999","Hydrochlorothiazide","Qualitest Pharmaceuticals"
3817,"Mykrox Tablets","Mykrox Tablets (Tablet)","metolazone","metolazone","Oral","","metolazone tablets","Celltech Pharmaceuticals, Inc."
3818,"TIZANIDINE HYDROCHLORIDE","TIZANIDINE HYDROCHLORIDE (Tablet)","TIZANIDINE HYDROCHLORIDE","TIZANIDINE","Oral","","TIZANIDINE HYDROCHLORIDE","COREPHARMA LLC."
3819,"Menest","Menest (Tablet)","estrogens, esterified","estrogens, esterified","Oral","","Estrogens, esterified","Monarch Pharmaceuticals, Inc."
3820,"Betamethasone Dipropionate","Betamethasone Dipropionate (Gel)","betamethasone dipropionate","betamethasone","Topical","","Betamethasone Dipropionate","Taro Pharmaceuticals U.S.A., Inc."
3821,"MS CONTIN","MS CONTIN (Tablet, Film Coated, Extended Release)","morphine sulfate","morphine","Oral","","morphine sulfate","Purdue Pharma L.P."
3822,"Milrinone Lactate in Dextrose","Milrinone Lactate in Dextrose (Injection)","Milrinone lactate","Milrinone","Intravenous","","Milrinone Lactate and Dextrose monohydrate","B. Braun Medical Inc."
3823,"Procardia","Procardia (Capsule)","nifedipine","nifedipine","Oral","DB01115","nifedipine","Pfizer Labs"
3824,"Potassium Chloride and Dextrose","Potassium Chloride and Dextrose (Injection, Solution)","Potassium Chloride","Potassium Chloride","Intravenous","","Potassium Chloride, sodium chloride, calcium chloride, sodium
lactate and Dextrose monohydrate","Hospira, Inc."
3825,"Dextroamphetamine Sulfate","Dextroamphetamine Sulfate (Tablet)","Dextroamphetamine Sulfate","dextroamphetamine","Oral","","Dextroamphetamine Sulfate","Mallinckrodt Inc."
3826,"Dopamine Hydrochloride","Dopamine Hydrochloride (Injection, Solution)","dopamine hydrochloride","dopamine","Intravenous Drip","","Dopamine Hydrochloride","American Regent Laboratories"
3827,"IFEX/MESNEX","IFEX/MESNEX (Kit)","ifosfamide","ifosfamide","Intravenous","","ifosfamide and mesna","Bristol-Myers Squibb"
3828,"MONOPRIL-HCT","MONOPRIL-HCT (Tablet)","fosinopril sodium","fosinopril","Oral","","FOSINOPRIL SODIUM and HYDROCHLOROTHIAZIDE","Bristol-Myers Squibb"
3829,"Phosphocol P 32","Phosphocol P 32 (Injection, Suspension)","Chromic Phosphate, P-32","Chromic Phosphate, P-32","Interstitial","","Chromic Phosphate, P-32","Mallinckrodt Inc."
3830,"Amiloride Hydrochloride","Amiloride Hydrochloride (Tablet)","Amiloride Hydrochloride","AMILORIDE","Oral","","Amiloride Hydrochloride","Par Pharmaceutical Co"
3831,"Methylprednisolone","Methylprednisolone (Tablet)","methylprednisolone","methylprednisolone","Oral","DB00959","methylprednisolone","Greenstone, Ltd."
3832,"Vectibix","Vectibix (Injection)","panitumumab","panitumumab","Intravenous","DB01269","panitumumab","Amgen Inc."
3833,"Azithromycin","Azithromycin (Tablet, Film Coated)","Azithromycin","Azithromycin","Oral","DB00207","Azithromycin","Sandoz Inc."
3834,"Miacalcin","Miacalcin (Spray, Metered)","calcitonin, salmon","calcitonin, salmon","Nasal","","calcitonin, salmon","Novartis Pharmaceuticals Corp."
3835,"Tramadol Hydrochloride and Acetaminophen","Tramadol Hydrochloride and Acetaminophen (Tablet)","tramadol hydrochloride","tramadol","Oral","","tramadol hydrochloride and acetaminophen","PAR PHARMACEUTICAL COMPANIES, INC."
3836,"Metoclopramide","Metoclopramide (Tablet)","Metoclopramide","Metoclopramide","Oral","DB01233","Metoclopramide","TEVA PHARMACEUTICALS USA"
3837,"PROVIGIL","PROVIGIL (Tablet)","modafinil","modafinil","Oral","DB00745","modafinil","Cephalon, Inc."
3838,"Univasc","Univasc (Tablet, Film Coated)","moexipril hydrochloride","Moexiprilat","Oral","","moexipril hydrochloride","Schwarz Pharma"
3839,"TIMOLOL MALEATE","TIMOLOL MALEATE (Solution)","timolol maleate","timolol","Ophthalmic","","timolol maleate","Pacific Pharma"
3840,"Sodium Iodide","Sodium Iodide (Capsule)","Sodium Iodide, I-123","Sodium Iodide, I-123","Oral","","Sodium Iodide, I-123","GE Healthcare, Medi-Physics, Inc."
3841,"AUGMENTIN","AUGMENTIN (Tablet, Film Coated)","amoxicillin","amoxicillin","Oral","","amoxicillin and clavulanate potassium","GlaxoSmithKline"
3842,"FOSCAVIR","FOSCAVIR (Injection)","Foscarnet Sodium","Foscarnet","Intravenous","","Foscarnet Sodium","AstraZeneca LP"
3843,"Metformin Hydrochloride Extended-Release","Metformin Hydrochloride Extended-Release (Tablet, Extended Release)","metformin hydrochloride","metformin","Oral","","metformin hydrochloride","Ranbaxy Pharmaceuticals Inc."
3844,"Pamelor","Pamelor (Capsule)","nortriptyline hydrochloride","nortriptyline","Oral","","nortriptyline hydrochloride","Mallinckrodt Inc."
3845,"Theophylline in Dextrose","Theophylline in Dextrose (Injection, Solution)","Theophylline","Theophylline","Intravenous","DB00277","Theophylline","Hospira, Inc."
3846,"CRIXIVAN","CRIXIVAN (Capsule)","indinavir sulfate","indinavir","Oral","","indinavir sulfate","Merck&Co., Inc."
3847,"Danazol","Danazol (Capsule)","danazol","danazol","Oral","DB01406","Danazol","BARR LABORATORIES, INC."
3848,"Nystop","Nystop (Powder)","Nystatin","Nystatin","Topical","DB00646","Nystatin","PADDOCK LABORATORIES, INC."
3849,"Tizanidine Hydrochloride","Tizanidine Hydrochloride (Tablet)","Tizanidine Hydrochloride","Tizanidine","Oral","","Tizanidine Hydrochloride","Mylan Pharmaceuticals Inc."
3850,"Tretinoin","Tretinoin (Cream)","Tretinoin","Tretinoin","Topical","DB00755","Tretinoin","Clay-Park Labs, Inc."
3851,"Ditropan XL","Ditropan XL (Tablet, Extended Release)","oxybutynin chloride","oxybutynin","Oral","","oxybutynin chloride","Ortho-McNeil Pharmaceutical, Inc."
3852,"PATADAY","PATADAY (Solution/ Drops)","olopatadine hydrochloride","olopatadine","Ophthalmic","","olopatadine hydrochloride","Alcon"
3853,"Inversine","Inversine (Tablet)","Mecamylamine Hydrochloride","Mecamylamine","Oral","","Inversine","Targacept, Inc."
3854,"Parcopa","Parcopa (Tablet, Orally Disintegrating)","Carbidopa","Carbidopa","Oral","","Carbidopa and Levodopa","Schwarz Pharma"
3855,"Finasteride","Finasteride (Tablet, Film Coated)","finasteride","finasteride","Oral","DB01216","finasteride","Merck&Co., Inc."
3856,"GLUCOVANCE","GLUCOVANCE (Tablet, Film Coated)","glyburide","glyburide","Oral","","GLYBURIDE AND METFORMIN HYDROCHLORIDE","Bristol-Myers Squibb"
